Nº,Project,TestClassName,No. Methods,Vocabulary,Word,Strings,Numeric Literals,Comments,Special,Non Whithe Characters,No. Method Invoctions,No. Field Access,No. Primitives,AST size,Max Depth,Avg Depth,Avg Depth Squared,Avg Depth Triple,Deg2,Deg3,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,No. &&,No. ||,No. Ternary,Bad API,Junit,Hamcrest,Mockito
14895,jfreechart,XYBarDataset,22,47,258,0,4,3548,903,6251,22,25,58,341,12,3.7448680351906156,13.304985337243401,73.01759530791789,3027,40853,738710703,35,399,0,0,0,0,0,7,0,0,0,0,0,0,0,0
14896,jfreechart,TitleEntity,10,45,140,31,2,1368,446,2923,25,3,6,193,9,3.435233160621762,10.492227979274611,44.626943005181346,1303,9287,2004333936,36,207,0,0,0,0,0,6,0,0,0,0,0,0,0,0
14897,jfreechart,ArcDialFrameTest,4,38,204,0,26,258,394,2146,69,0,6,409,8,2.1075794621026893,6.06356968215159,23.496332518337407,2456,48250,396705,21,330,0,0,0,0,0,0,0,0,0,0,21,1,0,0
14898,jfreechart,ScatterRendererTest,7,46,266,32,21,465,587,3332,87,0,9,582,11,2.2714776632302405,7.329896907216495,34.07560137457045,2810,33276,629912914,33,457,0,0,0,0,0,5,0,0,0,0,16,1,0,0
14899,jfreechart,StandardDialFrame,17,87,290,50,12,2672,828,5990,40,33,18,502,12,2.906374501992032,9.587649402390438,46.68725099601593,3083,37813,1892029353,36,490,0,0,0,0,0,7,0,0,0,0,0,0,0,0
14900,jfreechart,DefaultShadowGenerator,13,73,305,7,27,1477,821,5051,21,42,49,724,13,2.591160220994475,9.441988950276244,52.78729281767956,3219,28197,-1063713587,41,587,0,0,6,0,0,9,0,0,0,0,0,0,0,0
14901,jfreechart,PowerFunction2D,6,19,58,0,1,628,226,1259,3,10,11,108,9,3.3518518518518516,11.11111111111111,52.574074074074076,673,4369,1932065723,30,102,0,0,0,0,0,3,0,0,0,0,0,0,0,0
14902,jfreechart,XYImageAnnotationTest,0,2,2,0,0,47,12,81,0,0,0,0,2,0,0,0,9,27,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14903,jfreechart,CategoryLabelPositionsTest,3,26,297,0,0,224,492,4230,24,0,5,535,9,2.067289719626168,5.8728971962616825,23.633644859813085,1929,12467,109687569,21,448,0,0,0,0,0,0,0,0,0,0,13,1,0,0
14904,jfreechart,TimeSeriesChartTest,6,63,129,171,23,479,347,2242,29,6,6,290,11,2.5551724137931036,8.66551724137931,43.91379310344828,1345,8393,1282949315,31,234,1,1,0,0,0,0,0,0,0,0,1,1,0,0
14905,jfreechart,VectorDataItemTest,4,21,124,0,56,236,338,1599,34,0,6,303,8,2.211221122112211,6.739273927392739,27.834983498349835,1418,12318,-2102117530,20,244,0,0,0,0,0,0,0,0,0,0,14,1,0,0
14906,jfreechart,CategoryMarkerTest,6,41,273,107,72,353,688,3539,56,5,6,650,9,2.124615384615385,6.364615384615385,26.844615384615384,3154,34296,-1335664661,30,545,1,1,0,0,0,0,0,0,0,0,17,1,0,0
14907,jfreechart,PaintScale,3,7,10,0,0,586,98,702,0,0,3,0,4,0,0,0,98,478,908,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14908,jfreechart,KeyHandler,6,35,97,49,1,789,263,1967,12,13,7,123,10,4.0894308943089435,14.333333333333334,74.3821138211382,966,7276,1322855251,29,152,0,0,0,0,0,3,2,0,0,0,0,0,0,0
14909,jfreechart,NormalDistributionFunction2D,6,25,75,18,5,687,263,1660,4,13,14,158,12,3.348101265822785,13.284810126582279,81.19620253164557,873,5961,2004322471,33,145,0,0,0,0,0,4,0,0,0,0,0,0,0,0
14910,jfreechart,DateTickMarkPositionTest,3,22,76,0,0,194,138,1071,17,0,5,134,8,2.3582089552238807,7.223880597014926,30.746268656716417,480,1928,4581,19,113,0,0,0,0,0,0,0,0,0,0,5,1,0,0
14911,jfreechart,MeterPlotTest,4,56,438,72,83,301,882,4769,145,0,4,914,9,1.9803063457330417,5.636761487964989,21.824945295404813,8441,435737,1279075088,24,769,0,0,0,0,0,0,0,0,0,0,45,1,0,0
14912,jfreechart,GanttChartTest,10,87,402,467,110,825,939,5722,102,7,11,923,11,2.2903575297941496,7.891657638136511,39.41495124593716,4126,41636,-1605993088,30,788,1,1,0,0,0,0,0,0,0,0,0,1,0,0
14913,jfreechart,HistogramType,5,17,64,48,1,589,242,1659,5,4,3,107,10,4.121495327102804,14.065420560747663,70.1214953271028,809,5483,1278956486,33,113,0,0,0,0,0,7,2,0,0,0,0,0,0,0
14914,jfreechart,DataUtilsTest,7,33,393,160,158,374,1176,5170,122,2,45,1126,9,2.068383658969805,6.30461811722913,26.11101243339254,5504,66442,1758381344,28,877,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14915,jfreechart,DefaultBoxAndWhiskerCategoryDatasetTest,9,54,400,337,179,442,1391,6818,131,0,11,1148,11,2.1097560975609757,6.560975609756097,29.057491289198605,5320,38628,1200706745,27,931,2,2,0,0,0,0,0,0,0,0,6,1,0,0
14916,jfreechart,GradientXYBarPainter,9,86,581,0,56,1830,1228,6811,94,15,53,1143,13,2.468941382327209,8.797900262467191,47.53455818022747,4573,28941,1703346799,37,973,0,0,0,0,0,22,6,1,2,0,0,0,0,0
14917,jfreechart,DataPackageResources,1,6,8,68,0,180,63,408,0,0,0,3,6,23,60.333333333333336,219,148,740,2210,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14918,jfreechart,KeyedObjects2DTest,11,46,398,552,43,577,1234,5737,137,0,18,1104,9,2.1802536231884058,6.694746376811594,28.14764492753623,4852,39508,1127274901,27,807,18,18,0,0,0,0,0,0,0,0,8,1,0,0
14919,jfreechart,BooleanList,5,15,34,0,1,472,137,872,2,0,6,32,8,5.5625,17.4375,78.5,394,2532,3641164,24,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14920,jfreechart,OverLIBToolTipTagFragmentGeneratorTest,1,7,13,175,0,114,115,546,4,0,1,29,8,2.896551724137931,10.344827586206897,53.37931034482759,119,453,811,18,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14921,jfreechart,Crosshair,40,111,632,269,11,6155,1877,13773,62,121,51,1132,9,2.6678445229681977,7.586572438162544,28.809187279151942,9199,273699,-1077187050,37,1126,0,0,0,0,0,17,0,0,0,0,0,0,0,0
14922,jfreechart,EntityBlockResult,1,3,4,0,0,156,30,234,0,0,0,0,4,0,0,0,33,129,56,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14923,jfreechart,SubCategoryAxisTest,5,52,161,161,8,312,351,2066,45,0,7,340,11,2.3088235294117645,7.608823529411764,36.61470588235294,1384,9194,2007869192,26,265,1,1,0,0,0,0,0,0,0,0,12,1,0,0
14924,jfreechart,StandardPieToolTipGenerator,7,28,70,15,1,1401,302,2418,4,0,1,39,6,6.512820512820513,15.794871794871796,50.666666666666664,757,7351,-288469241,21,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14925,jfreechart,HexNumberFormat,7,32,83,4,8,1179,292,2137,6,4,14,101,9,4.237623762376238,12.435643564356436,53.366336633663366,1058,8532,2004965111,34,122,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14926,jfreechart,StandardXYBarPainterTest,4,20,59,0,0,321,134,1050,10,0,6,114,8,2.8596491228070176,9.982456140350877,46.80701754385965,437,1879,8846,18,82,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14927,jfreechart,LegendItemCollection,8,29,73,0,1,823,244,1762,7,8,6,125,10,3.784,14.168,75.688,815,5917,2004323649,32,122,0,0,0,0,0,3,0,0,0,0,0,0,0,0
14928,jfreechart,MonthTest,23,94,546,155,81,1394,1225,7395,134,10,29,1188,11,2.467171717171717,8.423400673400673,40.88131313131313,4984,44712,1413278057,33,920,7,7,0,0,0,0,0,0,0,0,3,1,0,0
14929,jfreechart,StandardCategoryItemLabelGeneratorTest,7,37,172,154,7,356,462,2979,45,0,7,385,9,2.4571428571428573,8.285714285714286,38.22337662337662,1569,10441,2047745644,23,301,0,0,0,0,0,0,0,0,0,0,14,1,0,0
14930,jfreechart,CategoryLineAnnotationTest,5,35,189,198,25,319,420,2407,55,0,7,396,9,2.164141414141414,6.674242424242424,29.55808080808081,2204,32968,1409371157,22,320,0,0,0,0,0,0,0,0,0,0,18,1,0,0
14931,jfreechart,StandardPieURLGeneratorTest,4,23,123,430,4,269,375,2144,31,0,4,297,8,2.2895622895622894,7.185185185185185,29.986531986531986,1438,15832,862502975,22,235,0,0,0,0,0,0,0,0,0,0,11,1,0,0
14932,jfreechart,LegendItemTest,4,50,706,1104,331,247,2152,10080,88,0,4,1996,10,1.8186372745490982,5.160320641282565,21.817635270541082,18029,644713,282810496,22,1727,0,0,0,0,0,0,0,0,0,0,19,1,0,0
14933,jfreechart,CombinedRangeCategoryPlot,20,165,646,37,21,3270,1510,10399,117,37,34,1292,14,2.676470588235294,10.396284829721361,62.5046439628483,5488,48852,-1733727048,45,1043,0,0,11,0,0,30,5,2,0,0,0,0,0,0
14934,jfreechart,CandlestickRenderer,30,204,865,7,32,8171,2271,17916,108,72,112,1536,16,2.6796875,9.497395833333334,54.07421875,10914,272596,136102863,45,1346,0,0,3,3,0,41,14,0,0,0,0,0,0,0
14935,jfreechart,CategoryItemLabelGenerator,3,19,40,0,0,949,138,1185,0,0,4,0,5,0,0,0,191,1053,7249,11,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14936,jfreechart,XYZURLGenerator,1,8,12,0,0,515,53,629,0,0,2,0,5,0,0,0,89,495,5183,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14937,jfreechart,BoxAndWhiskerCalculatorTest,4,36,203,0,34,216,427,2669,62,0,10,446,9,2.233183856502242,6.973094170403588,29.63677130044843,1991,17507,-1792829929,25,342,3,3,0,0,0,0,0,0,0,0,0,1,0,0
14938,jfreechart,XYItemRenderer,131,166,828,0,0,20401,3208,28192,0,0,236,0,5,0,0,0,23782,2493220,2096062823,12,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14939,jfreechart,BlockFrame,2,10,12,0,0,364,57,469,0,0,1,0,5,0,0,0,88,424,886,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14940,jfreechart,DefaultDrawingSupplierTest,3,57,367,0,36,213,680,3633,65,0,3,841,11,2.2104637336504163,7.3638525564803805,34.0653983353151,6537,307923,17894,25,587,0,0,0,0,0,0,0,0,0,0,26,1,0,0
14941,jfreechart,TimePeriod,2,5,6,0,0,311,56,395,0,0,0,0,4,0,0,0,71,347,783,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14942,jfreechart,LineUtils,2,40,235,6,12,520,489,2184,18,0,21,504,21,2.9107142857142856,16.9265873015873,171.38690476190476,1516,7774,-1883507138,26,414,0,0,1,0,0,11,7,8,0,0,0,0,0,0
14943,jfreechart,NumberTickUnit,7,24,80,33,3,777,281,1883,8,6,9,135,11,3.5555555555555554,12.755555555555556,69.68888888888888,867,5741,1278964486,36,139,0,0,0,0,0,4,0,0,0,1,0,0,0,0
14944,jfreechart,IntervalMarkerTest,6,39,153,0,27,370,351,2161,43,5,7,314,8,2.4394904458598727,7.439490445859873,30.738853503184714,1458,10730,190503310,26,266,0,0,0,0,0,0,0,0,0,0,11,1,0,0
14945,jfreechart,TickLabelEntity,1,10,18,0,1,250,61,485,0,0,1,5,5,13,28.6,82.6,181,1137,46126,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14946,jfreechart,CustomXYToolTipGenerator,8,37,136,0,4,957,362,2551,14,6,14,244,17,3.6311475409836067,19.28688524590164,173.62295081967213,1249,8911,-288141313,36,215,0,0,2,0,0,8,1,2,0,0,0,0,0,0
14947,jfreechart,ExportUtils,6,73,308,350,4,1643,719,5218,35,0,16,616,13,2.6444805194805197,9.722402597402597,51.949675324675326,2406,14286,1045541695,35,421,6,16,0,0,0,2,0,0,0,0,0,0,0,0
14948,jfreechart,DefaultKeyedValue,8,26,89,14,4,928,343,2048,7,14,5,168,11,3.5357142857142856,12.523809523809524,65.92857142857143,1119,9361,-898412308,34,178,0,0,0,0,0,4,0,0,0,3,0,0,0,0
14949,jfreechart,XYLineChartTest,6,63,129,171,23,476,344,2216,29,6,6,287,11,2.5714285714285716,8.745644599303136,44.362369337979096,1300,7880,1282587152,31,231,1,1,0,0,0,0,0,0,0,0,1,1,0,0
14950,jfreechart,StandardPieURLGenerator,6,31,109,134,1,896,394,2500,10,11,3,192,13,3.3645833333333335,12.572916666666666,76.39583333333333,1102,7250,2004690352,37,191,1,1,0,0,0,7,1,0,0,0,0,0,0,0
14951,jfreechart,KeyedObjectsTest,10,43,395,496,42,508,1094,5292,148,0,17,1023,9,2.1788856304985336,6.650048875855328,27.762463343108504,4444,37568,-1967808890,27,771,11,11,0,0,0,0,0,0,0,0,11,1,0,0
14952,jfreechart,AbstractDialLayer,11,44,130,0,5,1662,398,3349,10,11,14,214,14,3.649532710280374,15.313084112149532,100.88317757009345,1294,10230,-898363927,40,213,0,0,1,0,0,3,0,0,0,0,0,0,0,0
14953,jfreechart,SimpleHistogramBinTest,5,30,233,0,55,278,530,2924,84,0,5,540,8,2.1185185185185187,6.211111111111111,24.251851851851853,2566,26692,-1787688038,22,437,0,0,0,0,0,0,0,0,0,0,16,1,0,0
14954,jfreechart,Zoomable,9,16,88,0,0,2625,329,3288,0,0,27,0,5,0,0,0,647,4843,479173172,12,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14955,jfreechart,Function2D,1,3,4,0,0,141,40,198,0,0,2,0,4,0,0,0,45,197,155,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14956,jfreechart,TimePeriodAnchor,5,17,63,71,1,604,236,1656,5,4,3,100,10,4.28,14.7,73.94,817,6005,2004320614,33,109,0,0,0,0,0,6,2,0,0,0,0,0,0,0
14957,jfreechart,PolarPlotTest,8,93,752,106,190,287,1656,8518,268,0,8,1672,9,1.951555023923445,5.3881578947368425,20.005382775119617,12320,420896,-1571990984,25,1363,0,0,0,0,0,0,0,0,0,0,42,1,0,0
14958,jfreechart,LogAxis,40,254,1272,76,36,8434,3064,22526,247,48,150,2452,16,2.74184339314845,10.91557911908646,68.02243066884176,11575,179389,210410551,43,2005,0,0,6,0,0,51,18,4,0,0,0,0,0,0
14959,jfreechart,DefaultChartEditorFactory,2,8,13,0,0,199,47,392,0,0,0,7,7,8.142857142857142,26.428571428571427,123.85714285714286,116,646,5812,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14960,jfreechart,XYTextAnnotation,31,136,537,67,16,5112,1684,11444,75,71,47,918,12,2.968409586056645,9.218954248366012,41.014161220043576,7751,205147,562422242,37,922,0,0,0,0,0,18,0,0,1,0,0,0,0,0
14961,jfreechart,XYBoxAnnotation,9,85,326,0,9,2323,836,5771,32,34,33,563,12,2.9129662522202486,10.067495559502664,52.6607460035524,3295,30803,-2097248031,35,550,0,0,0,0,0,14,1,1,0,0,0,0,0,0
14962,jfreechart,EntityCollection,8,16,26,0,0,693,131,984,0,0,7,0,5,0,0,0,322,2224,39918037,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14963,jfreechart,StandardXYItemRenderer,39,236,938,21,26,7933,2475,18721,128,58,105,1596,23,2.8665413533834587,11.25,87.91917293233082,11680,284296,1740176366,39,1446,0,0,0,0,0,57,8,4,2,0,0,0,0,0
14964,jfreechart,CategorySeriesLabelGenerator,1,6,9,0,0,437,51,542,0,0,1,0,5,0,0,0,62,298,761,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14965,jfreechart,DefaultTableXYDataset,36,105,547,174,19,4966,1666,11770,109,72,61,1117,15,2.9498657117278424,11.223813786929275,65.20590868397494,6682,136320,4011948,41,990,0,0,9,0,0,22,3,0,2,4,0,0,0,0
14966,jfreechart,DynamicDriveToolTipTagFragmentGenerator,3,10,29,82,1,502,152,1049,2,4,2,36,8,4.305555555555555,12.972222222222221,58.80555555555556,355,2153,409131,24,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14967,jfreechart,XYBoxAndWhiskerRendererTest,6,56,192,49,23,346,413,2531,49,0,8,408,11,2.2892156862745097,7.4068627450980395,34.77450980392157,1901,18701,866471622,28,318,1,1,0,0,0,0,0,0,0,0,9,1,0,0
14968,jfreechart,TextBox,25,103,379,11,33,1889,1078,6836,48,76,33,841,12,2.8240190249702737,9.820451843043996,49.56123662306778,4849,71743,-1843533172,34,767,0,0,0,0,0,14,0,1,0,8,0,0,0,0
14969,jfreechart,CloneUtils,2,24,63,16,0,324,167,970,10,0,0,125,14,3.368,19.048,168.2,432,1666,10559,26,85,2,2,2,0,0,2,2,0,0,0,0,0,0,0
14970,jfreechart,CategoryAnchor,4,16,59,65,1,547,220,1509,5,3,2,93,10,4.32258064516129,14.881720430107526,75.29032258064517,742,5140,1278955144,33,102,0,0,0,0,0,6,2,0,0,0,0,0,0,0
14971,jfreechart,DefaultKeyedValues,22,75,441,81,15,3438,1263,7609,71,40,39,840,12,2.857142857142857,10.526190476190477,57.871428571428574,4199,48727,-2147328495,45,728,0,0,6,0,0,14,3,0,1,1,0,0,0,0
14972,jfreechart,UIUtils,10,77,226,0,7,1403,450,3431,32,0,22,362,12,2.914364640883978,10.720994475138122,59.56629834254144,1768,10762,1973166571,28,310,0,0,1,0,0,2,0,0,0,0,0,0,0,0
14973,jfreechart,SerialUtils,14,160,895,301,21,3341,2056,12670,212,0,67,1804,19,2.5376940133037693,10.862527716186253,81.74833702882484,6397,36937,-1178624563,44,1342,0,0,7,5,0,44,22,0,0,0,0,0,0,0
14974,jfreechart,AnnotationChangeListener,1,6,7,0,0,205,33,322,0,0,1,0,5,0,0,0,56,260,254,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14975,jfreechart,StandardXYZToolTipGenerator,9,54,201,37,9,2009,608,4302,26,9,8,311,10,3.0868167202572345,9.736334405144694,44.12218649517685,1861,14677,150417973,39,304,0,0,0,0,0,8,3,0,0,0,0,0,0,0
14976,jfreechart,ValueMarkerTest,7,73,365,70,57,354,730,3941,113,3,8,734,9,2.1348773841961854,6.151226158038147,23.960490463215258,5721,206409,1932472266,30,613,1,1,0,0,0,0,0,0,0,0,31,1,0,0
14977,jfreechart,IntervalXYDelegate,22,82,316,62,13,4946,1070,9102,39,33,58,605,15,3.1801652892561982,13.13388429752066,85.98016528925619,3701,56603,63697,41,544,0,0,2,0,0,16,1,2,1,0,0,0,0,0
14978,jfreechart,BoxAndWhiskerToolTipGeneratorTest,5,22,107,90,0,287,294,1880,25,0,5,226,9,2.663716814159292,9.31858407079646,43.6283185840708,840,4508,479050368,21,175,0,0,0,0,0,0,0,0,0,0,10,1,0,0
14979,jfreechart,ResourceBundleWrapper,5,28,92,0,2,1433,331,2477,11,0,2,127,11,3.425196850393701,12.858267716535433,73.58267716535433,741,4125,812368,33,120,0,0,1,0,0,3,2,0,0,0,0,0,0,0
14980,jfreechart,AreaRendererEndTypeTest,2,14,39,0,0,137,80,621,6,0,3,66,8,2.5,7.803030303030303,35.04545454545455,255,1001,1810,19,57,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14981,jfreechart,StandardBarPainterTest,4,20,59,0,0,319,134,1018,10,0,6,114,8,2.8596491228070176,9.982456140350877,46.80701754385965,437,1879,8846,18,82,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14982,jfreechart,LegendGraphic,38,142,611,189,7,5039,1753,12654,72,86,37,1078,16,2.961038961038961,10.404452690166975,59.31539888682746,8116,229008,-284288830,38,1024,0,0,0,0,0,34,8,0,0,0,0,0,0,0
14983,jfreechart,RectangleEdge,9,30,161,82,2,970,469,3007,10,4,7,276,12,3.6159420289855073,14.601449275362318,89.39855072463769,1604,13052,-2102066831,33,262,0,0,0,0,0,15,9,0,2,0,0,0,0,0
14984,jfreechart,OHLCDataItemTest,3,16,44,0,24,223,141,764,7,0,3,109,9,2.6513761467889907,9.990825688073395,54.28440366972477,503,2617,23234,19,88,0,0,0,0,0,0,0,0,0,0,2,1,0,0
14985,jfreechart,OverLIBToolTipTagFragmentGenerator,2,8,12,64,0,235,81,552,1,0,0,11,7,5.7272727272727275,17.90909090909091,81.54545454545455,130,692,5825,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14986,jfreechart,CategoryLabelWidthType,4,17,54,69,1,534,202,1504,5,3,2,87,9,4.103448275862069,13.64367816091954,65.06896551724138,661,4359,1932062640,33,93,0,0,0,0,0,5,1,0,0,0,0,0,0,0
14987,jfreechart,StatisticalCategoryDataset,4,10,30,0,0,677,121,958,0,0,4,0,5,0,0,0,249,1449,43261,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14988,jfreechart,StandardXYZToolTipGeneratorTest,5,40,282,106,0,300,481,3233,47,0,5,544,8,2.2224264705882355,6.821691176470588,27.391544117647058,3990,130718,51317,22,409,0,0,0,0,0,0,0,0,0,0,21,1,0,0
14989,jfreechart,StringUtils,4,14,44,24,3,578,156,1094,11,0,2,70,8,3.1714285714285713,10,45.34285714285714,448,2590,96655,20,68,1,1,0,0,0,2,0,0,0,0,0,0,0,0
14990,jfreechart,ValueMarker,6,19,75,0,1,1142,320,1896,1,5,10,96,9,3.7708333333333335,11.9375,54.270833333333336,699,4433,43558430,36,108,0,0,0,0,0,4,0,0,0,0,0,0,0,0
14991,jfreechart,DatasetUtils,58,229,3286,625,151,16490,7425,50817,449,4,322,6567,22,2.6030150753768844,11.826709304096239,93.7834627683874,25058,327598,701814268,42,4871,0,0,90,0,0,166,55,20,2,0,0,0,0,0
14992,jfreechart,SpiderWebPlotTest,5,97,644,161,123,286,1312,6959,226,0,5,1372,11,1.9599125364431487,5.567784256559767,21.99344023323615,15766,1194464,-332173505,26,1126,1,1,0,0,0,0,0,0,0,0,63,1,0,0
14993,jfreechart,DefaultPieDatasetTest,6,44,153,59,19,314,400,2064,46,4,8,354,9,2.403954802259887,7.545197740112994,32.62429378531073,1485,8687,83884440,31,286,3,3,0,0,0,0,0,0,0,0,3,1,0,0
14994,jfreechart,JSONAware,1,3,3,0,0,392,41,439,0,0,0,0,4,0,0,0,26,92,37,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14995,jfreechart,CompositeTitleTest,5,43,207,24,32,282,464,2413,62,0,7,452,10,2.2876106194690267,7.579646017699115,35.075221238938056,1994,20092,-775800198,26,357,1,1,0,0,0,0,0,0,0,0,14,1,0,0
14996,jfreechart,LegendItemCollectionTest,3,35,122,108,28,247,306,1700,21,0,3,279,10,2.1469534050179213,6.956989247311828,34.297491039426525,1457,13229,-279317338,21,229,0,0,0,0,0,0,0,0,0,0,2,1,0,0
14997,jfreechart,Second,19,82,406,16,37,3442,1217,7590,56,39,41,810,16,2.830864197530864,10.816049382716049,67.28271604938271,4134,46442,-2143671124,36,714,0,0,0,0,0,18,6,3,0,0,0,0,0,0
14998,jfreechart,CategoryPlotTest,37,263,2459,782,296,1761,4755,31237,700,0,41,5378,11,2.1266269988843436,6.51524730383042,27.253439940498325,73384,12237274,1157266090,34,4104,11,11,0,0,0,0,0,0,0,0,145,1,0,0
14999,jfreechart,DefaultStatisticalCategoryDatasetTest,11,51,347,247,89,529,1062,5525,125,0,13,871,10,2.1090700344431688,6.299655568312285,26.639494833524683,4033,28643,1906314661,29,724,2,2,0,0,0,0,0,0,0,0,6,1,0,0
15000,jfreechart,SunJPEGEncoderAdapter,7,44,97,75,3,1437,334,2725,15,3,10,142,9,3,8.873239436619718,38.74647887323944,976,7238,-1883496951,35,144,0,0,0,0,0,1,0,0,1,0,0,0,0,0
15001,jfreechart,ChartEditorManager,4,14,27,3,0,579,113,960,2,0,1,21,6,5.761904761904762,15.380952380952381,55.476190476190474,288,1686,51262,19,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15002,jfreechart,XYDataImageAnnotation,16,91,283,7,4,2755,802,5799,20,32,41,491,11,2.8533604887983706,8.568228105906314,37.44806517311609,3436,42952,-163842163,36,458,0,0,0,0,0,12,1,0,1,0,0,0,0,0
15003,jfreechart,ShipNeedleTest,3,15,56,0,0,180,122,700,14,0,3,102,8,2.764705882352941,9.411764705882353,43.35294117647059,378,1568,7522,18,81,0,0,0,0,0,0,0,0,0,0,6,1,0,0
15004,jfreechart,ChartTheme,1,5,7,0,0,399,49,459,0,0,1,0,5,0,0,0,46,198,156,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15005,jfreechart,WaferMapPlot,13,121,459,52,40,1688,1132,6907,84,19,28,901,16,2.9467258601553827,12.367369589345172,84.32963374028857,4295,43415,-1526818189,39,814,0,0,2,0,0,17,5,0,1,0,0,0,0,0
15006,jfreechart,HighLowItemLabelGenerator,7,54,203,100,2,1131,537,3648,37,15,8,389,12,2.8123393316195373,10.226221079691516,55.94858611825193,1783,12679,-857775788,36,339,0,0,0,0,0,14,0,0,0,0,0,0,0,0
15007,jfreechart,StandardCrosshairLabelGenerator,7,25,75,64,0,819,295,2110,7,9,2,148,10,3.3783783783783785,11.986486486486486,60.945945945945944,801,5213,1278958254,39,131,0,0,0,0,0,6,0,0,0,0,0,0,0,0
15008,jfreechart,XYCoordinate,8,21,86,30,12,754,350,1801,2,14,13,221,12,3.18552036199095,13.095022624434389,81.78280542986425,1017,6505,2004324531,34,186,0,0,0,0,0,9,3,0,0,0,0,0,0,0
15009,jfreechart,AxisSpaceTest,3,24,105,0,8,188,211,1049,37,0,5,204,8,2.2598039215686274,6.75,27.524509803921568,946,9062,109650128,19,161,0,0,0,0,0,0,0,0,0,0,12,1,0,0
15010,jfreechart,EncoderUtil,8,17,185,0,0,2465,379,4257,16,0,16,132,7,4.166666666666667,10.848484848484848,39.803030303030305,1509,12197,649918891,18,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15011,jfreechart,MouseWheelHandler,5,47,118,0,4,620,288,1946,20,9,10,220,11,2.7227272727272727,9.322727272727272,47.28636363636364,983,6097,1971983223,31,180,0,0,0,0,0,7,1,0,0,0,0,0,0,0
15012,jfreechart,BlockBorder,11,66,220,15,9,1468,552,3552,29,13,21,329,10,2.9848024316109423,9.130699088145896,40.09726443768997,2134,18034,-822685535,33,325,0,0,0,0,0,8,0,0,0,0,0,0,0,0
15013,jfreechart,ComparableObjectSeriesTest,9,44,263,122,9,479,606,3385,80,0,9,529,9,2.3232514177693764,6.826086956521739,27.15122873345936,2909,37485,821120437,30,442,1,1,0,0,0,0,0,0,0,0,11,1,0,0
15014,jfreechart,TimeSeriesDataItem,9,43,125,8,5,1782,481,3159,9,11,8,206,11,3.4466019417475726,12.669902912621358,68.28155339805825,1194,9404,-898417122,40,207,1,1,0,0,0,5,1,0,0,2,0,0,0,0
15015,jfreechart,GradientBarPainterTest,4,20,95,0,36,319,254,1483,22,0,6,228,8,2.3508771929824563,7.491228070175438,32.219298245614034,959,6265,2004319288,20,178,0,0,0,0,0,0,0,0,0,0,7,1,0,0
15016,jfreechart,DynamicTimeSeriesCollection,46,137,713,256,36,6654,2306,16395,61,147,122,1515,14,3.1194719471947194,11.621122112211221,65.29372937293729,11707,408485,2082580608,44,1367,0,0,11,1,0,34,5,0,0,0,0,0,0,0
15017,jfreechart,VectorDataItem,6,22,56,0,0,541,216,1152,9,0,8,99,8,3.292929292929293,11.595959595959595,55.41414141414141,476,2516,3669910,22,78,0,0,0,0,0,2,2,0,0,0,0,0,0,0
15018,jfreechart,DefaultIntervalCategoryDataset,32,91,643,1428,38,6548,2201,15425,56,47,59,1261,15,3.119746233148295,12.014274385408406,69.36716891356066,6420,88660,511617,46,1142,0,0,6,2,0,44,5,1,8,0,0,0,0,0
