Nº,Project,TestClassName,No. Methods,Vocabulary,Word,Strings,Numeric Literals,Comments,Special,Non Whithe Characters,No. Method Invoctions,No. Field Access,No. Primitives,AST size,Max Depth,Avg Depth,Avg Depth Squared,Avg Depth Triple,Deg2,Deg3,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,No. &&,No. ||,No. Ternary,Bad API,Junit,Hamcrest,Mockito
8111,checkstyle,FooWhileClass,11,32,217,1552,24,0,893,6096,102,0,20,637,16,2.5259026687598114,9.656200941915227,62.62009419152276,2450,12094,42108713,20,564,0,0,6,0,0,0,0,2,6,0,0,0,0,0
8112,checkstyle,AsInput,0,5,5,8,2,0,11,61,0,0,2,0,4,0,0,0,41,113,47,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8113,checkstyle,PropertyCacheFileTest,17,152,835,1972,32,246,1691,13403,236,0,23,1914,13,2.2988505747126435,7.703239289446186,37.211076280041794,7940,68550,1609264308,41,1376,4,3,2,0,0,0,0,0,0,0,0,1,0,0
8114,checkstyle,ViolationPosition,1,3,10,0,0,0,15,276,0,2,4,13,7,5.615384615384615,17.307692307692307,76.23076923076923,129,595,5153,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8115,checkstyle,AAClass,0,1,1,0,0,0,2,20,0,0,0,0,2,0,0,0,4,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8116,checkstyle,LambdaImpl,2,7,16,0,0,0,18,95,0,0,1,2,5,32,75,227,150,894,41198,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8117,checkstyle,InputParameterNameOverrideAnnotationNoNPE,2,5,7,0,0,0,12,177,0,0,6,2,4,16.5,32.5,82.5,75,309,269,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8118,checkstyle,DoWhileHandler,3,25,46,18,0,298,119,960,14,0,2,72,9,3.0277777777777777,10.222222222222221,49.94444444444444,342,1520,10648,24,70,0,0,0,0,0,1,0,1,0,0,0,0,0,0
8119,checkstyle,UniquePropertiesCheck,6,66,155,87,8,1053,390,3038,28,0,6,254,13,3.3070866141732282,12.448818897637794,75.70866141732283,1407,7963,1932833830,38,223,1,1,2,1,0,3,0,1,0,0,0,0,0,0
8120,checkstyle,InputModifiedControlVariableBothForLoops,3,23,104,24,43,0,292,759,2,2,23,352,15,2.2613636363636362,8.806818181818182,60.28409090909091,1183,9263,109643500,30,232,0,0,18,0,0,0,0,1,0,0,0,0,0,0
